"Name
","Developer
","Initial release
","Version
","Date
","Program­ming language
","Cost (US$)
","License
","GUI
","TUI or CLI
"
"Acme
","Rob Pike
","1993
","Plan 9 and Inferno
","
","C
","No cost
","MITGPL-2.0-onlyLPL-1.02
","
","
"
"AkelPad
","Alexey KuznetsovAlexander Shengalts
","2003
","4.9.9[1] 
","2024-10-16
","C
","No cost
","BSD-2-Clause
","
","
"
"Alphatk
","Vince Darley
","1999
","8.3.3[2] 
","2004-12-10
","
","$40
","Proprietary, with BSD components
","
","
"
"Atom
","GitHub
","2014
","1.63.1[3] 
","2022-11-23
","HTML, CSS, JavaScript, C++
","No cost
","MIT
","
","
"
"BBEdit
","Rich Siegel
","1992
","15.0.3[4] 
","2024-04-08
","Objective-C, Objective-C++
","No cost for most features, $49.99 for full version
","Proprietary
","
","
"
"Bluefish
","Bluefish Development Team
","1999
","2.2.16[5] 
","2024-09-22
","C
","No cost
","GPL-3.0-or-later
","
","
"
"Brackets
","Adobe Systems
","2012
","2.2.1[6] 
","2023-03-22
","HTML, CSS, JavaScript, C++
","No cost
","MIT
","
","
"
"Coda
","Panic
","2007
","2.7.7[7] 
","2020-11-05
","Objective-C
","$99
","Proprietary
","
","
"
"ConTEXT
","ConTEXT Project Ltd
","1999
","
","
","Object Pascal (Delphi)
","No cost
","BSD-3-Clause
","
","
"
"Crimson Editor
","Ingyu Kang
","1999
","3.72-r286m[8] 
","2011-10-01
","C++
","No cost
","Proprietary
","
","
"
"CudaText
","UVViewSoft[a]
","2015
","1.217.5.1[9] 
","2024-09-05
","Object Pascal (Lazarus)
","No cost
","MPL-2.0
","
","
"
"ed
","Ken Thompson
","1970
","unchanged from original
","
","C
","No cost
","?
","
","
"
"Editra
","Cody Precord
","2007
","0.7.20
","2013-01-05
","Python
","No cost
","wxWindows license
","
","
"
"EmEditor
","Emurasoft, Inc.
","1997
","21.3.0
","2021-11-24
","C++
","$39.99
","Shareware
","
","
"
"epsilon
","Lugaru Software
","1984
","14.00[10]
","2020-10-20
","C
","$250
","Proprietary
","
","
"
"FeatherPad
","Pedram Pourang
","2016
","1.4.1[11] 
","2023-06-12
","C++, Qt
","No cost
","GPL-3.0-or-later
","
","
"
"FocusWriter
","Graeme Gott
","2008
","1.8.9[12] 
","2024-10-11
","C++, Qt
","No cost
","GPL-3.0-or-later
","
","
"
"gedit
","GNU Project
","2000
","46.1[13] 
","2023-08-01
","C
","No cost
","GPL-3.0
","
","
"
"Geany
","Enrico Tröger
","2005
","2.0.0[14] 
","2023-10-19
","C, GTK+
","No cost
","GPL-2.0-or-later
","
","
"
"GNU Emacs
","Richard Stallman
","1984
","29.4[15] 
","2024-06-22
","C, Emacs Lisp
","No cost
","GPL-3.0-or-later
","
","
"
"GNU nano
","Chris Allegretta
","1999
","8.3[16] 
","2024-12-21
","C
","No cost
","GPL-3.0-or-later
","
","
"
"IA Writer
","Information Architects
","2010.09.22
","5.6
","2020-12-07
","Objective-C (iOS), Objective-C (macOS), C# (Windows), Java (Android)
","$29.99
","Proprietary
","
","
"
"JED
","John E. Davis
","1992
","0.99-19 
","2009-12-13
","C, S-Lang
","No cost
","GPL-2.0-or-later
","
","
"
"jEdit
","Slava Pestov
","1998
","
","
","Java
","No cost
","GPL-2.0-or-later
","
","
"
"JOE
","Joseph Allen
","1988
","
","
","C
","No cost
","GPL
","
","
"
"JOVE
","Johnathon Payne
","1983
","
","
","C
","No cost
","JOVE license
","
","
"
"Kate
","KDE Project
","2000-12
","24.08.2[17] 
","2024-10-10
","C++
","No cost
","GPL
","
","
"
"KEDIT
","Mansfield Software Group, Inc.
","1983
","1.6.1
","2016-12-05
","C
","$129
","Proprietary
","
","
"
"Komodo Edit
","Activestate
","2007
","12.0.1[18] 
","2020-02-10
","Python, JavaScript, Perl, Tcl, PHP, Ruby
","No cost
","MPL, GPL, LGPL
","
","
"
"Komodo IDE
","Activestate
","2001
","
","
","Python, JavaScript, Perl, Tcl, PHP, Ruby
","$295
","Proprietary
","
","
"
"KWrite
","KDE Project
","2000
","24.02[19] 
","2024-02-28
","C++
","No cost
","GPL
","
","
"
"LE
","Alexander V. Lukyanov
","1997
","1.16.8[20] 
","2021-02-05
","C++
","No cost
","GPL-3.0-or-later
","
","
"
"Leo
","Edward K. Ream
","1996
","6.7.6[21] 
","2023-12-19
","Python
","No cost
","MIT
","
","
"
"Light Table
","Chris Granger
","2012
","0.8.1[22] 
","2016-01-22
","ClojureScript
","No cost
","MIT
","
","
"
